Index	Word	Cluster
0	UNK	2
1	the	0
2	of	4
3	and	0
4	one	4
5	in	3
6	a	0
7	to	1
8	zero	1
9	nine	3
10	two	3
11	is	4
12	as	2
13	eight	0
14	for	4
15	s	1
16	five	0
17	three	3
18	was	3
19	by	2
20	that	4
21	four	1
22	six	0
23	seven	1
24	with	1
25	on	4
26	are	4
27	it	1
28	from	4
29	or	4
30	his	2
31	an	2
32	be	4
33	this	4
34	which	0
35	at	4
36	he	2
37	also	0
38	not	1
39	have	4
40	were	3
41	has	0
42	but	3
43	other	3
44	their	4
45	its	4
46	first	3
47	they	4
48	some	0
49	had	0
50	all	4
51	more	1
52	most	4
53	can	4
54	been	0
55	such	4
56	many	0
57	who	0
58	new	0
59	used	4
60	there	1
61	after	3
62	when	3
63	into	3
64	american	0
65	time	4
66	these	4
67	only	3
68	see	3
69	may	3
70	than	3
71	world	0
72	i	2
73	b	2
74	would	0
75	d	2
76	no	1
77	however	4
78	between	3
79	about	1
80	over	3
81	years	0
82	states	3
83	people	0
84	war	3
85	during	4
86	united	0
87	known	1
88	if	3
89	called	3
90	use	4
91	th	3
92	system	4
93	often	4
94	state	0
95	so	3
96	history	1
97	will	3
98	up	0
99	while	3
100	where	3
101	city	0
102	being	0
103	english	0
104	then	3
105	any	4
106	both	0
107	under	4
108	out	0
109	made	0
110	well	3
111	her	2
112	e	2
113	number	0
114	government	4
115	them	0
116	m	2
117	later	3
118	since	4
119	him	2
120	part	3
121	name	2
122	c	2
123	century	4
124	through	3
125	because	4
126	x	2
127	university	2
128	early	3
129	life	1
130	british	0
131	year	0
132	like	3
133	same	4
134	including	1
135	became	3
136	example	0
137	day	4
138	each	4
139	even	3
140	work	4
141	language	1
142	although	4
143	several	0
144	form	4
145	john	2
146	u	2
147	national	1
148	very	4
149	much	4
150	g	2
151	french	1
152	before	3
153	general	1
154	what	0
155	t	2
156	against	3
157	n	2
158	high	0
159	links	1
160	could	3
161	based	3
162	those	0
163	now	3
164	second	0
165	de	2
166	music	2
167	another	1
168	large	0
169	she	2
170	f	2
171	external	4
172	german	1
173	different	0
174	modern	2
175	great	0
176	do	4
177	common	4
178	set	0
179	list	0
180	south	4
181	series	1
182	major	1
183	game	3
184	power	4
185	long	4
186	country	1
187	king	0
188	law	3
189	group	1
190	film	1
191	still	1
192	until	4
193	north	3
194	international	3
195	term	4
196	we	0
197	end	4
198	book	2
199	found	3
200	own	1
201	political	1
202	party	3
203	order	0
204	usually	4
205	president	0
206	church	2
207	you	2
208	death	2
209	theory	4
210	area	4
211	around	3
212	include	4
213	god	2
214	ii	0
215	way	4
216	did	3
217	military	3
218	population	1
219	using	4
220	though	3
221	small	3
222	following	4
223	within	3
224	non	1
225	human	3
226	left	3
227	main	3
228	among	0
229	point	0
230	r	2
231	due	4
232	p	2
233	considered	3
234	public	1
235	popular	1
236	computer	4
237	west	4
238	family	2
239	east	1
240	information	4
241	important	3
242	european	4
243	man	1
244	sometimes	3
245	right	4
246	old	2
247	free	1
248	word	2
249	without	4
250	last	4
251	us	3
252	members	0
253	given	0
254	times	4
255	roman	2
256	make	4
257	h	2
258	age	1
259	place	3
260	l	2
261	thus	1
262	science	4
263	case	4
264	become	0
265	systems	4
266	union	4
267	born	3
268	york	0
269	line	3
270	countries	4
271	does	4
272	isbn	2
273	st	2
274	control	4
275	various	0
276	others	1
277	house	0
278	article	1
279	island	0
280	should	3
281	led	0
282	back	3
283	period	4
284	player	3
285	europe	3
286	languages	4
287	central	3
288	water	4
289	few	0
290	western	3
291	home	2
292	began	0
293	generally	4
294	less	1
295	k	4
296	similar	4
297	written	1
298	original	1
299	best	1
300	must	3
301	according	2
302	school	2
303	france	3
304	air	3
305	single	3
306	force	3
307	v	2
308	land	1
309	groups	1
310	down	0
311	how	0
312	works	1
313	development	4
314	official	1
315	support	4
316	england	0
317	j	2
318	rather	1
319	space	3
320	data	4
321	greek	2
322	km	4
323	named	0
324	germany	2
325	just	1
326	games	4
327	said	0
328	version	4
329	late	4
330	earth	4
331	company	4
332	every	3
333	economic	1
334	short	0
335	published	3
336	black	1
337	army	1
338	off	4
339	london	0
340	million	3
341	body	4
342	field	4
343	christian	0
344	either	4
345	social	4
346	empire	2
347	o	2
348	developed	3
349	standard	4
350	court	0
351	service	4
352	kingdom	0
353	along	3
354	college	2
355	republic	1
356	sea	4
357	america	4
358	today	3
359	result	4
360	held	3
361	team	3
362	light	4
363	means	3
364	never	1
365	especially	3
366	third	3
367	further	4
368	character	2
369	forces	3
370	take	4
371	men	1
372	society	0
373	show	3
374	open	1
375	possible	1
376	fact	3
377	battle	2
378	took	3
379	former	0
380	books	0
381	soviet	4
382	river	2
383	children	0
384	having	1
385	good	1
386	local	0
387	son	0
388	current	2
389	process	4
390	natural	4
391	present	3
392	himself	2
393	islands	4
394	total	4
395	near	2
396	white	1
397	days	0
398	person	0
399	itself	4
400	seen	3
401	culture	1
402	little	2
403	above	4
404	software	0
405	largest	0
406	words	4
407	upon	3
408	level	4
409	father	2
410	created	1
411	side	4
412	red	4
413	references	2
414	press	4
415	full	0
416	region	4
417	almost	1
418	al	3
419	image	3
420	famous	1
421	play	3
422	came	0
423	role	3
424	once	0
425	certain	0
426	league	3
427	jewish	0
428	james	2
429	january	3
430	site	2
431	again	3
432	numbers	0
433	art	2
434	member	0
435	areas	4
436	movement	0
437	religious	1
438	type	4
439	march	3
440	community	3
441	story	2
442	played	3
443	production	4
444	released	3
445	center	0
446	rights	4
447	real	4
448	related	4
449	foreign	4
450	low	4
451	ancient	1
452	terms	4
453	view	0
454	source	4
455	act	4
456	minister	0
457	change	4
458	energy	4
459	produced	4
460	research	4
461	actor	1
462	making	3
463	december	1
464	civil	4
465	women	1
466	special	4
467	style	2
468	japanese	3
469	design	4
470	william	0
471	available	4
472	chinese	3
473	forms	4
474	canada	2
475	northern	3
476	died	3
477	class	0
478	living	0
479	next	3
480	particular	3
481	program	4
482	council	2
483	television	4
484	head	0
485	david	2
486	china	3
487	middle	2
488	established	1
489	hand	2
490	bc	1
491	far	4
492	july	3
493	function	4
494	position	4
495	y	4
496	built	0
497	george	2
498	band	0
499	together	3
500	w	2
501	latin	3
502	thought	0
503	eastern	1
504	charles	2
505	parts	4
506	instead	4
507	study	0
508	india	1
509	might	3
510	code	3
511	included	3
512	meaning	4
513	trade	4
514	per	4
515	june	3
516	least	1
517	half	0
518	model	4
519	economy	1
520	prime	2
521	traditional	4
522	always	4
523	capital	2
524	range	0
525	emperor	0
526	november	4
527	young	0
528	anti	1
529	final	3
530	text	4
531	players	3
532	uk	3
