Index	Word	Cluster
0	UNK	1
1	수업	4
2	교수님	4
3	시험	2
4	과제	2
5	학점	4
6	거	4
7	수	1
8	강의	3
9	기말	0
10	때	3
11	시간	3
12	생각	4
13	문제	3
14	분	3
15	발표	3
16	번	0
17	학생	1
18	중간	0
19	내용	3
20	공부	3
21	듯	3
22	정도	3
23	사람	3
24	점수	3
25	조	4
26	1	4
27	2	3
28	나	3
29	성적	4
30	학기	2
31	안	2
32	추천	4
33	책	3
34	개	0
35	편	3
36	출석	2
37	주심	2
38	수업시간	1
39	말	3
40	인간의가치탐색	3
41	설명	0
42	있음	2
43	자체	3
44	임	1
45	때문	3
46	중요	4
47	중	0
48	3	0
49	점	0
50	시민교육	3
51	부담	2
52	이해	3
53	저	3
54	하나	3
55	전	3
56	심	2
57	하심	2
58	중간고사	0
59	영어	1
60	한번	2
61	글쓰기1	2
62	과목	3
63	자기	4
64	우리가사는세계	2
65	고사	3
66	만큼	4
67	글	4
68	하면	3
69	질문	2
70	평가	3
71	부분	3
72	4	0
73	토론	1
74	내	4
75	팀	2
76	교수	1
77	함	2
78	진짜	2
79	꿀	1
80	뭐	1
81	제출	4
82	처음	4
83	건	3
84	에이	3
85	강	4
86	데	3
87	느낌	4
88	5	0
89	준비	3
90	노력	3
91	수강	2
92	주제	1
93	이상	4
94	기말고사	0
95	본인	3
96	무엇	4
97	대체	2
98	0	0
99	팀플	3
100	자신	3
101	애	2
102	개인적	2
103	티	0
104	레포트	4
105	나름	3
106	피	3
107	플	3
108	출결	2
109	답	1
110	진행	1
111	이것	3
112	기준	4
113	글쓰기2	3
114	글쓰기	3
115	장	0
116	시험문제	0
117	필기	3
118	여	1
119	대학영어	3
120	줄	0
121	주신	0
122	주	0
123	필요	3
124	매	4
125	명	1
126	이	1
127	얘기	1
128	도움	3
129	이번	0
130	조원	4
131	수준	3
132	마지막	3
133	동안	2
134	별	3
135	교재	3
136	친절	2
137	활동	4
138	라	0
139	일	4
140	10	0
141	방식	3
142	등	1
143	학교	3
144	평	2
145	이름	2
146	식	2
147	진도	4
148	퀴즈	1
149	관심	1
150	혼자	2
151	주시	4
152	하다	3
153	대	2
154	앞	0
155	피드백	4
156	시	2
157	피피티	0
158	내가	1
159	말씀	3
160	지각	4
161	탐	3
162	전공	1
163	그것	3
164	대신	1
165	ㅇ	1
166	참여	4
167	요약	1
168	범위	3
169	다	3
170	개인	4
171	갓	1
172	대학	1
173	비율	3
174	경우	1
175	최고	1
176	보고	2
177	결석	0
178	ㅎ	1
179	관련	1
180	에세이	4
181	후	4
182	마	4
183	가능	4
184	조금	3
185	이야기	1
186	지식	1
187	해	3
188	좋으	2
189	난이도	3
190	우리	1
191	절대	2
192	소리	2
193	만	4
194	자료	0
195	평소	3
196	줌	2
197	정리	3
198	집중	2
199	좋으심	2
200	만족	2
201	이거	3
202	정	4
203	비	3
204	기간	3
205	의견	2
206	분량	4
207	사실	0
208	사랑	4
209	수업내용	3
210	족보	0
211	비제	2
212	대부분	3
213	그거	2
214	중간기말	0
215	실력	3
216	2번	0
217	목소리	3
218	기억	1
219	신입생세미나1	4
220	연습	4
221	고	2
222	영어2	3
223	논술	4
224	걱정	4
225	반	1
226	밑	4
227	날	4
228	눈	1
229	유익	4
230	끝	3
231	작성	3
232	위주	0
233	참고	3
234	완전	2
235	고등	0
236	반영	3
237	수업때	3
238	프린트	2
239	문	3
240	학년	0
241	스타일	3
242	열정	2
243	미분적분학1	2
244	개꿀	4
245	30	3
246	개념	0
247	휴강	2
248	논문	0
249	신경	0
250	친구	4
251	고등학교	0
252	다음	4
253	모임	0
254	기대	2
255	나중	2
256	단어	3
257	뒤	4
258	자유	1
259	과	1
260	성격	1
261	ㅠ	2
262	쁠	2
263	면	3
264	목	2
265	우	1
266	봄	4
267	출튀	1
268	6	3
269	열정적	2
270	교육	3
271	감사	2
272	만점	0
273	강추	2
274	신청	0
275	노	4
276	터	3
277	마음	2
278	부족	1
279	생	0
280	서술형	0
281	형식	0
282	3번	0
283	음	0
284	체크	2
285	분위기	1
286	흥미	3
287	암기	3
288	하	4
289	물리	0
290	예제	0
291	남	3
292	빅뱅에서문명까지	0
293	선택	0
294	학기동안	3
295	보고서	0
296	이론	0
297	연습문제	0
298	꿀강	1
299	어려움	3
300	소	1
301	프로젝트	2
302	영어1	2
303	예상	3
304	교양	3
305	감	0
306	영화	4
307	하루	4
308	학과	1
309	40	4
310	학	0
311	주관식	0
312	내고	4
313	지	0
314	쪽	1
315	나머지	3
316	사세	2
317	북	3
318	물리학및실험1	0
319	시작	1
320	20	0
321	시민	1
322	모습	2
323	모두	0
324	기본	0
325	거기	3
326	비추	4
327	1번	4
328	오픈	0
329	둘	0
330	진심	2
331	귀	2
332	조모임	0
333	시험공부	3
334	이유	1
335	중간중간	2
336	뿐	4
337	적	2
338	배려	2
339	인	1
340	성실	3
341	제대	4
342	재미	4
343	평균	0
344	일주일	2
345	김	1
346	우사세	1
347	히	2
348	변별력	0
349	짱	2
350	출제	4
351	소논문	0
352	널	3
353	독학	3
354	15	0
355	그	0
356	결과	2
357	포기	3
358	초반	1
359	단원	0
360	자리	2
361	인생	2
362	공	0
363	힘	4
364	수업임	1
365	단점	3
366	세요	4
367	의미	4
368	가지	2
369	ㄹ	2
370	기분	4
371	이후	1
372	영향	3
373	쪽지	1
374	양	3
375	보통	3
376	제로	2
377	최대한	2
378	예	2
379	태도	4
380	전날	3
381	결론	3
382	디	3
383	여기	1
384	7	4
385	짐	2
386	자	1
387	International	4
388	메일	1
389	대답	0
390	객관식	0
391	으	3
392	외	4
393	최악	4
394	마세	1
395	대로	3
396	장점	2
397	앞자리	2
398	망	0
399	전체적	1
400	기초	3
401	논리회로	0
402	시험기간	3
403	채점	4
404	복습	1
405	인정	1
406	오픈북	0
407	특성	4
408	신세	4
409	100	1
410	년	1
411	쓰기	0
412	오	1
413	비중	3
414	원래	4
415	바	2
416	기출	0
417	대충	0
418	무	4
419	듣기	1
420	안해	4
421	수도	2
422	거임	2
423	9	0
424	문과	4
425	역사	1
426	진	4
427	과정	1
428	이과	3
429	1학기	0
430	한데	3
431	후회	2
432	전체	4
433	흐름	1
434	조교	1
435	질	3
436	에이플	1
437	제가	4
438	쪽지시험	3
439	선형대수	2
440	정치	2
441	시고	2
442	전부	3
443	전반적	3
444	주의	3
445	손	4
446	토	0
447	회	4
448	느님	4
449	모든	0
450	서술	1
451	한명	2
